"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"d1f4d8dc-1f35-3b7a-ba24-5aa272a229c2","Sling Blade",1996,"https://www.rottentomatoes.com/m/sling_blade",175,"97%","92%"
"dfd26cbf-d588-3807-89ac-475627a705b1","Kubo and the Two Strings",2016,"https://www.rottentomatoes.com/m/kubo_and_the_two_strings_2016",176,"97%","86%"
"819cd155-49d8-365b-9a62-39bced69482a","Sweet Smell of Success",1957,"https://www.rottentomatoes.com/m/sweet_smell_of_success",177,"98%","91%"
"f198021b-ba16-32b9-a5a5-fa1e199229e5","The Thin Man",1934,"https://www.rottentomatoes.com/m/thin_man",178,"98%","94%"
"9e8328d9-a5cd-3547-8b1b-97e76b85c3e4","Once Upon a Time in the West",1968,"https://www.rottentomatoes.com/m/once_upon_a_time_in_the_west",179,"96%","94%"
"36a0a268-1179-3238-a345-0f027fb60ad6","Eternal Sunshine of the Spotless Mind",2004,"https://www.rottentomatoes.com/m/eternal_sunshine_of_the_spotless_mind",180,"92%","94%"
"2dd66854-2bb0-3c13-b596-ba103270888c","Sense and Sensibility",1995,"https://www.rottentomatoes.com/m/1068832-sense_and_sensibility",181,"97%","90%"
"2a4c868f-1dfd-3771-b9b6-9c7d5426d028","BlacKkKlansman",2018,"https://www.rottentomatoes.com/m/blackkklansman",182,"96%","83%"
"66f676e5-1142-3db3-a3a0-ca5e6c7c6af9","Lost in Translation",2003,"https://www.rottentomatoes.com/m/lost_in_translation",183,"95%","85%"
"2e6047eb-370b-333b-aac7-972d911b766d","Au Hasard Balthazar",1966,"https://www.rottentomatoes.com/m/au_hasard_balthazar",184,"100%","86%"
"ed6cb2f2-5c4a-3d90-90fd-d9a3409ffb8b","Boyhood",2014,"https://www.rottentomatoes.com/m/boyhood",185,"97%","80%"
"f3beb856-32b5-3f83-ba29-2e8098e86260","The Grapes of Wrath",1940,"https://www.rottentomatoes.com/m/grapes_of_wrath",186,"100%","88%"
"1655d908-6680-3030-a880-374dec2822f8","Sing Street",2016,"https://www.rottentomatoes.com/m/sing_street",187,"95%","92%"
"fff5cee0-7ad7-3983-aa39-2f7901a77b6f","A Fistful of Dollars",1964,"https://www.rottentomatoes.com/m/fistful_of_dollars",188,"98%","91%"
"b3c8ddca-01bf-3f39-a501-e43cc8f0ff75","The Truman Show",1998,"https://www.rottentomatoes.com/m/truman_show",189,"94%","89%"
"19f4dbba-c5f1-356c-b5f9-480b66877788","Life of Brian",1979,"https://www.rottentomatoes.com/m/monty_pythons_life_of_brian",190,"96%","93%"
